prostor,uid,št. aliasov,št. sklicev,opis
Prime integer topology,S000053,1,2,"The prime integer topology on the set $X = \mathbb{Z}^+$ of positive integers is generated by the subbasis of all sets of the form $U_p(b) = \{b+np \in X : n \in \mathbb{Z}\}$ for all $p$ prime and $b$ not divisible by $p$.  A base for the topology is given by the collection of all $U_a(b) = \{b+na \in X : n \in \mathbb{Z}\}$ with $a,b>0$ and with $a$ squarefree and relatively prime to $b$.

Defined as counterexample #61 (""Prime Integer Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Double pointed reals,S000054,0,1,"The double pointed reals is the product topology on $X = \mathbb{R} \times \{0,1\}$ where $\mathbb{R}$ has the usual topology and $\{0,1\}$ has the indiscrete topology.

Defined as counterexample #62 (""Double Pointed Reals"")
in {{doi:10.1007/978-1-4612-6290-9}}.

<!-- [[Proof of Topology]]
A basis for topology on $\mathbb{R}\times \{0,1\}$ is generated by crossing basic open sets of $\mathbb{R}$ with basic open sets of $\{0,1\}$. The basis for the standard topology on $\mathbb{R}$ is defined by the set $\mathscr{R}=\{(a,b) : a,b\in \mathbb{R} \text{ and }a<b\}$, where $(a,b)$ is an interval. So, the basis for topology on the Double Pointed Reals is defined by the set $\mathscr{B}=\{A\times \{0,1\}:A\in \mathscr{R}\}$. More simply, $\mathscr{B}=\{(c,d) : c\in\mathscr{R},d\in\{0,1\}$, where $(c,d)$ is an ordered pair. In a sense, the Double Pointed Reals Topology is like keeping parallel copies of the standard topology on $\mathbb{R}$; one mapped to 0 and one mapped to 1.
To prove the set $\mathscr{B}$ is a basis for a topology on $\mathbb{R}\times\{0,1\}$, we must prove
$$\text{ For every } x\in X \text{ there exists some } B_n \text{ such that } x\in B_n$$
$$\text{ If }x\in B_a \cap B_b, \text{ there exists some } B_c \text{ such that } x\in B_c\subset B_a\cap B_b$$
So to prove the first condition, let $x\in \mathbb{R}\times \{0,1\}$. This implies $x$ is of the form $(x,0) \text{ or } (x,1)$. Suppose $x$ is of the form $(x,0)$. Let $A$ be some interval $(a,b)$ that contains $x$. It is obvious that $x$ belongs to the ordered pair $(A,0)$. A similar argument follows for the case when $x$ is of the form $(x,1)$.
To prove the second condition, let $x\in B_1\cap B_2$. This implies $B_1 \text{ and } B_2$ have the same component of the set $\{0,1\}$.  Furthermore, the first element in the ordered pair of $B_1$ and $B_2$ are both of the form $(a,b)$ and $(c,d)$ respectively such that $x\in (a,b) \text{ and } (c,d)$. Construct a new interval of the form, $(\text{max}(a,c),\text{min}(b,d))$. It follows that $x$ is in this interval, and $x$ is in the basic open set $B_3$ with the first element as $(\text{max}(a,c),\text{min}(b,d))$ and the second element the same as $B_1$ and $B_2$. Both 1 and 2 hold, so the Double Pointed Reals is a basis topology.
 -->"
Countable complement extension topology on the real numbers,S000055,0,1,"The countable complement extension topology on $\mathbb{R}$ is the smallest topology generated by the union of the topologies from {S25} and {S17}.

Defined as counterexample #63 (""Countable Complement Extension Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Smirnov's deleted sequence topology,S000056,1,2,"Let $K = \{\frac{1}{n} : n \in \mathbb{N}\}$. Smirnov's Deleted Sequence Topology is the topology on $\mathbb{R}$ consisting of all sets of the form $U \setminus B$ where $U \subset \mathbb{R}$ is open in the standard topology and $B \subset K$.

Defined as counterexample #64 (""Smirnov's Deleted Sequence Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Rational sequence topology,S000057,0,2,"For each irrational $x \in \mathbb{R}$ fix a sequence of rational numbers $x_i \rightarrow x$. The rational sequence topology on $\mathbb{R}$ is defined by declaring each rational point open and letting $U_n(x) = \{x_i : i>n\} \cup \{x\}$ be a local basis at each irrational $x$.

Note that in {{mo:447593}} it was shown there are $2^{\mathfrak c}$ distinct topologies defined in this way, depending on the choices made for $x_i$. However, none of the properties currently tracked for this space rely on this information.

Defined as counterexample #65 (""Rational Sequence Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Indiscrete rational extension of $\mathbb R$,S000058,0,1,"Let $D = \mathbb{Q}$, the set of rational numbers.
The space $X$ is $\mathbb R$ with the topology generated by the Euclidean open sets
together with the sets of the form $D\cap U$ with $U\subseteq\mathbb R$ Euclidean open.

The topology is finer than {S25}.
And it is coarser than {S60}
and coarser than {S62}.

Defined as counterexample #66 (""Indiscrete Rational Extension of $\mathbb{R}$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Indiscrete irrational extension of $\mathbb R$,S000059,0,1,"Let $D=\mathbb R\setminus\mathbb Q$, the set of irrational numbers.
The space $X$ is $\mathbb R$ with the topology generated by the Euclidean open sets
together with the sets of the form $D\cap U$ with $U\subseteq\mathbb{R}$ Euclidean open.

The topology is finer than {S25}.
And it is coarser than {S61}
and coarser than {S63}.

Defined as counterexample #67 (""Indiscrete Irrational Extension of $\mathbb{R}$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Pointed rational extension of $\mathbb{R}$,S000060,0,1,"Let $D = \mathbb{Q}$, the set of rational numbers.
The space $X$ is $\mathbb R$ with the topology generated by the sets of the form $\{x\}\cup(D\cap U)$
where $U\subset\mathbb{R}$ is open in the Euclidean topology and $x\in U$.

The topology is finer than {S58}.

Defined as counterexample #68 (""Pointed Rational Extension of $\mathbb{R}$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Pointed irrational extension of $\mathbb R$,S000061,0,1,"Let $D=\mathbb R\setminus\mathbb Q$, the set of irrational numbers.
The space $X$ is $\mathbb R$ with the topology generated by the sets of the form $\{x\}\cup(D\cap U)$
where $U\subseteq\mathbb R$ is open in the Euclidean topology and $x\in U$.

The topology is finer than {S59}.

Defined as counterexample #69 (""Pointed Irrational Extension of $\mathbb{R}$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Discrete rational extension of $\mathbb R$,S000062,0,1,"Let $D = \mathbb{Q}$, the set of rational numbers.
The space $X$ is $\mathbb R$ with the topology generated by the Euclidean open sets
together with all singletons $\{x\}$ for $x\in D$.
(So any subset of $D$ is open in $X$.)

The topology is finer than {S58}.

Defined as counterexample #70 (""Discrete Rational Extension of $\mathbb{R}$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Michael line,S000063,1,2,"Let $D=\mathbb R\setminus\mathbb Q$, the set of irrational numbers.
The space $X$ is $\mathbb R$ with the topology generated by the Euclidean open sets
together with all singletons $\{x\}$ for $x\in D$.
(So any subset of $D$ is open in $X$.)

The topology is finer than {S59}.

The use of this space by [Ernest Michael](https://en.wikipedia.org/wiki/Ernest_Michael) in {{doi:10.1090/S0002-9904-1963-10931-3}} resulted in it being known as the ""Michael line"".
See for example <https://dantopology.wordpress.com/2012/10/28/michael-line-basics/>.

Defined as counterexample #71 (""Discrete Irrational Extension of $\mathbb{R}$"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Pointed rational extension of the plane,S000064,0,1,"If $(X,\tau)$ is the Euclidean plane, we define a new topology for $X$ by declaring open each point in the set $D = \{(x,y) | x \in Q, y \in Q\}$, and each set of the form $\{x\} \cup (D \cap U)$ where $x \in U \in \tau$.

Defined as counterexample #72 (""Rational Extension in the Plane"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Telophase topology,S000065,1,1,"Let $(X, \tau)$ be the topological space formed by adding to the ordinary closed unit interval $[0,1]$ another right end point, say $1^{\ast}$, with the sets $(a,1) \cup \{1^{\ast}\}$ as a local basis.

Defined as counterexample #73 (""Telophase Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Double origin plane,S000066,0,2,"Let $X$ consist of the set of points of the plane $\mathbb R^{2}$ together with an additional point $0^{\ast}$. Neighborhoods of points other than the origin $0$ and the point $0^{\ast}$ are the usual open sets of $R^{2} - 0$; as a basis of neighborhoods of $0$ and $0^{\ast}$, we take $V_{n}(0) = \{(x,y):x^{2} + y^{2} < \frac{1}{n^2}, y > 0\} \cup \{0\}$ and $V_{n}(0^{\ast}) = \{(x,y):x^{2} + y^{2} < \frac{1}{n^2}, y < 0\} \cup \{0^{\ast}\}$.

Defined as counterexample #74 (""Double Origin Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}. Note that this is *not* a copy
of {S176} with the origin
doubled in the sense of {S83}."
Irrational slope topology,S000067,1,2,"Let $X = \{(x,y) : x,y \in \mathbb{Q}, y \geq 0\}$. For a fixed irrational $\theta>0$, the irrational slope topology on $X$ is obtained by taking as a local base of open neighborhoods of each point $(x,y)\in X$ the collection of sets $N_\epsilon(x,y)$ with $\epsilon>0$,
defined by $N_\epsilon(x,y) = \{(x,y)\} \cup B(x - y/\theta, \epsilon) \cup B(x + y/\theta, \epsilon)$ where $B(a, \epsilon):=((a-\epsilon,a+\epsilon)\cap\mathbb Q)\times\{0\}$.  That is, $N_\epsilon(x,y)$ consists of the point $(x,y)$ together with the rational numbers in an $\epsilon$-neighborhood around the two points where the lines passing through $(x,y)$ with slopes $\theta$ and $-\theta$ cross the real $x$-axis.

Defined as counterexample #75 (""Irrational Slope Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}. Originally introduced in {{zb:0051.13902}} with $\theta=\sqrt 3$."
Deleted diameter topology,S000068,0,1,"Let $X = \mathbb{R}^2$. The deleted diameter topology on $X$ is generated by the subbasis consisting of all open discs with all of their horizontal diameters except the center deleted.

Defined as counterexample #76 (""Deleted Diameter Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Deleted radius topology,S000069,0,1,"Let $X = \mathbb{R}^2$. The deleted radius topology on $X$ is generated by the subbasis consisting of all open discs with all of their right horizontal radii (excluding the center) deleted.

Defined as counterexample #77 (""Deleted Radius Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Half-disc topology,S000070,0,1,"Let $H = \{(x,y) \in \mathbb{R} : y>0\}$ be the upper half plane and $L$ the $x$-axis. The half disc topology on $X = H \cup L$ is the topology generated by the following neighborhood bases: points $x\in H$ have the usual Euclidean neighborhoods and points $x \in L$ have neighborhoods of the form $\{x\} \cup (H \cap U)$ where $x \in U$ and $U$ is open in the usual Euclidean topology.

Defined as counterexample #78 (""Half-Disc Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Irregular lattice topology,S000071,0,1,"Let $A = \{(i,k) : 0 < i,k \in \mathbb{N}\}$, $B = \{(i,0) : i \geq 0\}$ and $X = A \cup B$. Declare each point of $A$ to be open. Let the set of all $U_n((i,0)) = \{(i,k) : k=0$ or $k \geq n\}$ form a local basis at any point with $i \neq 0$ and the set of all $V_n = \{(i,k) : i=k=0$ or $i,k\geq n\}$ be a local basis at $(0,0)$.

Defined as counterexample #79 (""Irregular Lattice Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Arens square,S000072,0,1,"Let $S=\big((0,1)_{\mathbb Q}\setminus\{\frac{1}{2}\}\big)\times(0,1)_{\mathbb Q}$ and
$X=S\cup\{\langle 0,0\rangle,\langle 1,0\rangle\}\cup\{\langle\frac{1}{2},r\sqrt{2}\rangle:r\in(0,\frac{1}{\sqrt 2})_{\mathbb Q}\}$
(where $I_{\mathbb Q}=I\cap\mathbb Q$).

This space is $X$ with the topology such that points of $S$ have their usual neighborhoods as a subspace of {S176}, and

- $U_n(0,0) = \{\langle 0,0\rangle\} \cup \left((0,\frac{1}{4})_{\mathbb Q}\times(0,\frac{1}{n})_{\mathbb Q}\right)$,
- $U_n(1,0) = \{\langle 1,0\rangle\} \cup \left((\frac{3}{4},1)_{\mathbb Q}\times(0,\frac{1}{n})_{\mathbb Q}\right)$, and
- $U_n(\frac{1}{2},r\sqrt{2}) = \left((\frac{1}{4},\frac{3}{4})\times(r\sqrt{2}-\frac{1}{n},r\sqrt{2}+\frac{1}{n})\right)\cap X$
  for $r\in(0,\frac{1}{\sqrt 2})_{\mathbb Q}$.

are local bases at $\langle 0,0\rangle$, $\langle 1,0\rangle$ and $\langle\frac{1}{2},r\sqrt{2}\rangle$ respectively.

Defined as counterexample #80 (""Arens Square"") in {{doi:10.1007/978-1-4612-6290-9}}, where
this space was erroneously claimed to be {P4}.
Compare with {S80} which modifies the construction to
obtain a valid {P4} example."
Simplified arens square,S000073,0,1,"Let $S = (0,1)^2$ and $X = S \cup \{(0,0),(1,0)\}$. Let $S$ have the subspace topology and let $U_n(0,0) = \{(0,0)\} \cup \{(x,y) : x < \frac{1}{2}, y<\frac{1}{n}\}$ and $U_n(1,0) = \{(1,0)\} \cup \{(x,y) : \frac{1}{2}<x, y<\frac{1}{n}\}$ be local bases at $(0,0)$ and $(1,0)$ respectively.

Defined as counterexample #81 (""Simplified Arens Square"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Niemytzki plane,S000074,2,2,"Let $X = \{(x,y) \in \mathbb{R}^2 : y \geq 0\}$. The topology is defined by letting points of the strict upper half plane have their usual Euclidean neighborhoods and points $z=(x,0)$ have as a local neighborhood base the sets of the form $\{z\}\cup D$ with $D$ an open disk in the upper plane tangent to the $x$-axis at $z$.

Defined as counterexample #82 (""Niemytzki's Tangent Disc Topology"") in {{doi:10.1007/978-1-4612-6290-9}}."
Rational tangent disc topology,S000075,1,1,"Let $X$ consist of the open upper half plane along with the rational points on the $x$-axis. Let points in the upper half plane have their usual neighborhoods and let neighborhoods of rational points $s$ on the $x$-axis consist of discs in the upper half plane tangent to the $x$-axis at the point $s$.

Defined as counterexample #83 (""Metrizable Tangent Disc Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}, more
generally for any countable (non-empty) subset of the \(x\)-axis."
Sorgenfrey plane,S000076,1,2,"The square of {S43}.

Defined as counterexample #84 (""Sorgenfrey's Half-Open Square Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Michael's product topology,S000077,0,1,"The product of {S63} and {S28}.

Defined as counterexample #85 (""Michael's Product Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Tychonoff plank,S000078,0,2,"The space $[0,\omega_1] \times [0,\omega]$ where each factor has the order topology.

Defined as counterexample #86 (""Tychonoff Plank"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Deleted Tychonoff plank,S000079,0,2,"The space $([0,\omega_1] \times [0,\omega]) \setminus \{(\omega_1,\omega)\}$ where each factor has the order topology.  This is a subspace of the {S78}.

Defined as counterexample #87 (""Deleted Tychonoff Plank"")
in {{doi:10.1007/978-1-4612-6290-9}}."
B. Scott's modified Arens square,S000080,0,2,"The authors of {{doi:10.1007/978-1-4612-6290-9}} intended the {S72} space (counterexample #80) to be an example of a space that is {P4} and {P10}, but not {P5} and not {P9}.  It turns out {S72} was erroneously claimed as {P4} in their book.  Brian Scott constructed the modification below in {{mathse:1716095}} to provide an example with the desired properties.

Let $Q$ be the set of rational points in the interval $(0,1)$ and let $\{Q_q:q\in Q\}$ be a partition of $Q$ into countably many dense subsets. Let

$S=\bigcup_{q\in Q}(\{q\}\times Q_q)$

and take the space to be $X=\{(0,0),(1,0)\}\cup S$.

Let $M=\{1/2\}\times Q_{1/2}$. Points of $S\setminus M$ have the neighborhoods that they inherit from the Euclidean topology.  Local bases at the points $(0,0)$, $(1,0)$ and $(1/2,q)\in M$ are given respectively by the collections of sets
- $U_n(0,0) = \{(0,0)\} \cup \{(x,y)\in S: 0<x<\frac14, \; 0<y<\frac1n\}$,
- $U_n(1,0) = \{(1,0)\} \cup \{(x,y)\in S: \frac34<x<1, \; 0<y<\frac1n\}$,
- $U_n(1/2,q) = \{(x,y)\in S: \frac{1}{4}<x<\frac34, \; q-\frac1n < y < q+\frac1n\}.$

The properties and justifications given for counterexample #80 in {{doi:10.1007/978-1-4612-6290-9}} are valid for this space with minimal modifications."
Alexandroff plank,S000081,0,1,"The set $[0,\omega_1] \times [-1,1]$ with topology generated by adding in all sets of the form $U(\alpha, n) = \{(\omega_1,0)\} \cup (\alpha, \omega_1] \times (0,\frac{1}{n})$ to its usual product topology.

Defined as counterexample #88 (""Alexandroff Plank"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Sum of continuum-many Right Ray Topology on the Reals,S000082,2,1,The topological sum of continuum-many copies of {S42}.
Line with two origins,S000083,0,2,"The space $X$ is obtained by taking $\mathbb R$ ({S25}) and replacing the origin $0$ with two origins $0_1$ and $0_2$.  Basic open neighborhoods of a point $x\ne 0$ are the Euclidean open neighborhoods of $x$ not containing $0$.  Basic open neighborhoods of each origin $0_i$ are of the form $(U\setminus\{0\})\cup\{0_i\}$ with $U$ a Euclidean open neighborhood of $0$.

The space can also be obtained as a quotient space of the disjoint union of $\mathbb R\times\{1\}$ and $\mathbb R\times\{2\}$ by identifying points $(x,1)$ and $(x,2)$ for $x\ne 0$.

This space is similar to {S65} and provides an example of {P123} space that is not {P3}.

See {{wikipedia:Non-Hausdorff_manifold}} and Exercise 5 of section 36 in {{zb:0951.54001}}."
Line with countably many origins,S000084,0,1,"This space is similar to {S83}, but with a countably infinite number of origins.
Given $S$ a countably infinite set with the discrete topology, the space can be constructed as a quotient space of $\mathbb R \times S$ by identifying points $(x,\alpha)$ and $(x,\beta)$ whenever $x\ne 0$.

Equivalently, it can be obtained from $\mathbb R$ by replacing the origin $0$ with many origins $0_\alpha$, one for each $\alpha \in S$.  The subspace $\mathbb R\setminus\{0\}$ retains its Euclidean topology. Basic open neighborhoods of each origin $0_\alpha$ are of the form $(U\setminus \{0\})\cup \{0_\alpha\}$ with $U$ an open neighborhood of $0$ in $\mathbb R$.

See {{wikipedia:Non-Hausdorff_manifold}}."
Line with uncountably many origins,S000085,0,1,"This space is similar to {S84}, with uncountably many origins.

Given a set $S$ of cardinality $2^\mathfrak c$ with the discrete topology, the space can be constructed as a quotient space of $\mathbb R \times S$ by identifying points $(x,\alpha)$ and $(x,\beta)$ whenever $x\ne 0$.

Equivalently, it can be obtained from $\mathbb R$ by replacing the origin $0$ with many origins $0_\alpha$, one for each $\alpha \in S$.  The subspace $\mathbb R\setminus\{0\}$ retains its Euclidean topology. Basic open neighborhoods of each origin $0_\alpha$ are of the form $(U\setminus \{0\})\cup \{0_\alpha\}$ with $U$ an open neighborhood of $0$ in $\mathbb R$.

See {{wikipedia:Non-Hausdorff_manifold}}.

The cardinality $|S|=2^\mathfrak c$ is choosen to illustrate that in {T404} the {P99} hypothesis cannot be weakened to {P2}."
Everywhere doubled line,S000086,0,2,"This space is similar to {S83}, with every point ""doubled"".

The space can be described as the union of two real lines $X=A\sqcup B$ with $A = \mathbb R\times\{0\}$ and $B=\mathbb R\times\{1\}$.  A set $U\subseteq X$ is open exactly when $U\cap A$ is open in $A$ with the usual Euclidean topology and for each $x=(r,1)\in U\cap B$, the set $U$ contains a deleted neighborhood of $(r,0)$ in $A$.

Equivalently, this space has the topology on $X= \mathbb R\times\{0,1\}$ generated by the basic open sets
$B(\langle x,i\rangle,\epsilon)=\{\langle x,i\rangle\}\cup\Big(\Big((x-\epsilon,x)\cup(x,x+\epsilon)\Big)\times\{0\}\Big)$
for each point $\langle x,i\rangle\in X$ and $\epsilon>0$.

See section 3 of {{doi:10.1090/S0002-9939-07-09100-9}}
and the description of the general construction in {{mathse:3678440}}.

This provides an example of a {P123} space that is not {P3}, but is {P86}."
Deleted Dieudonné plank,S000087,1,2,"The subspace $X$ of {S191} obtained by removing the point $\langle\omega_1,\omega\rangle$.
So $X=(Y\times Z)\setminus\{\langle\omega_1,\omega\rangle\}$ 
where $Y=[0,\omega_1]$ is given the topology with points of $[0,\omega_1)$
isolated and neighborhoods of $\omega_1$ cocountable,
and $Z=[0,\omega]$ is given the topology with points of $[0,\omega)$
isolated and neighborhoods of $\omega$ cofinite.

Defined as counterexample #89 (""Dieudonné Plank"")
in {{doi:10.1007/978-1-4612-6290-9}}. Note that the pi-Base qualifies this name with
""Deleted"" to align with e.g. {S78} and {S79}."
Tychonoff corkscrew,S000088,0,1,"For each ordinal $\alpha$ let $A_\alpha$ denote the linearly ordered set $(-0, -1, -2, \dots, \alpha, \dots, 2, 1, 0)$ with the order topology. Let $P = A_{\omega_1} \times A_{\omega}$ and $P^\ast = P \setminus \{(\omega_1, \omega)\}$. We may regard $P^\ast$ as a rectangular lattice with coordinate axes $A_{\omega_1}$ and $A_\omega$.

Form a corkscrew by taking a (countably) infinite stack of copies of $P^\ast$ by slitting each $P^\ast$ immediately below the positive $A_{\omega_1}$ axis and the joining the fourth quadrant of one plane to the first quadrant of the one immediately below it. Complete the space by adjoining a point $a^+$ with neighborhoods all points above a certain level and $a^-$ with neighborhoods all points below a certain level.

Defined as counterexample #90 (""Tychonoff Corkscrew"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Deleted Tychonoff corkscrew,S000089,0,1,"The subspace $Y = X \setminus \{a^-\}$ of the {S88}.

Defined as counterexample #91 (""Deleted Tychonoff Corkscrew"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Hewitt's condensed corkscrew,S000090,0,1,"If $T = S \cup \{a^\pm\}$ is the {S88} and $[0,\omega_1)$ the set of countable ordinals, let $A = T \times [0,\omega_1)$ and $X = S \times [0,\omega_1) \subset A$. Think of $A$ as an uncountable sequence of corkscrews $A_\lambda$ for $\lambda \in [0,\omega_1)$ and $X$ as the same sequence of corkscrews missing all infinity points. Let $\Gamma:X \times X \rightarrow [0,\omega_1)$ be a bijection and $\pi_i$ the coordinate projections $X \times X \rightarrow X$ and define $\psi: A \setminus X \rightarrow X$ by $\psi(a^+_\lambda) = \pi_1 \Gamma^{-1}(\lambda)$ and $\psi(a^-_\lambda) = \pi_2 \Gamma^{-1}(\lambda)$. Then if $x \neq y \in X$,
letting $\lambda = \Gamma(x,y)$, both $\psi^{-1}(x)$ and $\psi^{-1}(y)$ intersect $A_\lambda$.

Define a topology on $A$ by basis neighborhoods $N$ of each $x \in X$ with the property that $\psi^{-1}(N \cap X \subset N$ together with $A_\lambda$-basis neighborhoods of each point $a \in A \setminus X$. $X \subset A$ will carry the subspace topology.

To construct a typical basis neighborhood of $x \in X$, begin with a $\sigma$-neighborhood $N_0$ of $x \cup \psi^{-1}(x)$ where $\sigma$ is the product topology on $A = T \times \omega_1$ where $\omega_1$ carries the discrete topology. Then inductively define $N_i$ to be a $\sigma$-neighborhood of $N_{i-1} \cup \psi^{-1}(N_{i-1} \cap X)$ and $N = \bigcup N_i$. Clearly $\psi^{-1}(N \cap X) \subset N$.

Defined as counterexample #92 (""Hewitt's Condensed Corkscrew"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Thomas plank,S000091,0,1,"Let $L_0 = \{(x,0)\ |\ x \in (0,1)\}$ and for $i \geq 1$, $L_i = \{(x,\frac{1}{i}) |\ x \in [0,1)\}$, and $X = \bigcup_{i=0}^\infty L_i$. If $i \geq 1$, each point of $L_i \setminus \{(0, \frac{1}{i})\}$ is open. Basis neighborhoods of $(0,\frac{1}{i})$ are subsets $L_i$ with finite complements. The sets $U_i(x,0) = \{(x,0)\} \cup \{(x,\frac{1}{n})\ |\ n > i\}$ form a basis for the points in $L_0$.

Defined as counterexample #93 (""Thomas' Plank"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Thomas corkscrew,S000092,0,1,"Take copies of {S91} and use them to build a corkscrew as in the construction of {S88}.

Defined as counterexample #94 (""Thomas' Corkscrew"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Double arrow space,S000093,2,3,"Let $A$ be the subset of the plane $ \{ (x,0)\ |\ 0 < x \leq 1 \}$ and let $B$ be the subset $ \{ (x,1)\ |\ 0\leq x<1 \} $. Let $X = A \cup B$ as a set. The weak parallel line topology on $X$ is defined by taking as a basis all sets of the form $W = \{(x,0)\ |\ a<x<b \} \cup \{ (x,1)\ |\ a \leq x < b\}$ and $U = \{(x,0)\ |\ a < x \leq b \} \cup \{(x,1)\ |\ a<x<b\}$.

Defined as counterexample #95 (""Weak Parallel Line Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}.

Referenced in Exercise 3.10.C of {{zb:0684.54001}}."
Strong parallel line topology,S000094,0,1,"Let $A$ be the subset of the plane $ \{ (x,0)\ |\ 0 < x \leq 1 \}$ and let $B$ be the subset $ \{ (x,1)\ |\ 0\leq x<1 \} $. Let $X = A \cup B$ as a set. The strong parallel line topology on $X$ is defined by taking as a basis all sets of the form $V = \{ (x,1)\ |\ a \leq x < b\}$ and $U = \{(x,0)\ |\ a < x \leq b \} \cup \{(x,1)\ |\ a<x<b\}$.

Defined as counterexample #96 (""Strong Parallel Line Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Concentric circles,S000095,0,1,"Let $C_r = \{x \in \mathbb{R}^2\ |\ |x|=r\}$ be a circle of radius $r$. Let $X = C_1 \cup C_2$ and define a topology on $X$ by taking as a subbasis all $\{x\} \in C_2$ along with all open intervals in $C_1$ each together with the radial projection of all but its midpoint onto $C_2$.

Defined as counterexample #97 (""Concentric Circles"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Appert space,S000096,1,2,"Let $X$ be the set of positive integers. For $S \subset X$, let $N(n, S) = |\{m \in S\ |\ m < n\}|$. Declare $U \subset X$ to be open if $1 \not\in U$, or if $1 \in U$ and $\lim_{n \rightarrow \infty} N(n, U)/n = 1$.

Defined as counterexample #98 (""Appert Space"")
in {{doi:10.1007/978-1-4612-6290-9}}."
One-point compactification of the sequential fan $S_\omega$,S000097,1,1,"The set $\omega^2\cup\{x,y\}$ topologized by the following basis: points of $\omega^2$ are isolated,
$\{x\}\cup\{\langle i,j\rangle\in\omega^2 : i\geq f(j)\}$ is open for each $f:\omega\to\omega$, and
$\{y\}\cup\{\langle i,j\rangle\in\omega^2 : j\geq n\}$ is open for each $n<\omega$.
Put another way, neighborhoods of $x$ contain all but finitely-many points of each row of $\omega^2$,
and neighborhoods of $y$ contain all but finitely-many rows.

Equivalently, this is the one-point compactification of
a copy $\omega^2\cup\{x\}$ of
{S131} with
$y$ as its compactifying point.

Defined as counterexample #99 (""Maximal Compact Topology"")
in {{doi:10.1007/978-1-4612-6290-9}} to demonstrate
an example of a non-{P3} space which has a maximal
compact topology."
Minimal Hausdorff topology,S000098,0,1,"Let $A$ be the linearly ordered set $\{1,2,3,\dots,\omega,\dots,-3,-2,-1\}$ with the interval topology. Let $X = A \times \omega \cup \{a, -a\}$ where $a$ and $-a$ are ideal points with neighborhoods $M_n^+(a) = \{a\} \cup \{(i,j)\ |\ i<\omega, j>n\}$ and $M_n^-(-a) = \{-a\}\cup\{(i,j)\ |\ i>\omega,j>n\}$.

Defined as counterexample #100 (""Minimal Hausdorff Topology"")
in {{doi:10.1007/978-1-4612-6290-9}}."
Alexandroff square,S000099,0,1,"Let $X$ be the unit square $[0,1] \times [0,1] \subset \mathbb{R}^2$. If $(x,y)$ is a point off the diagonal, define neighborhoods of $(x,y)$ to be sets of the form $N_\epsilon(x,y) = \{(x,t)\ |\ |t-y| < \epsilon, t \neq x\} $. If $(x,x)$ is a point on the diagonal, define neighborhoods of $(x,x)$, for every finite collection $\{x_i\} \subset [0,1]$ which does not contain $x$, as follows: $\{(t,y) \in X\ |\ |y-x|<\epsilon, t \not\in \{x_0, \dots, x_n\}\}$.

Defined as counterexample #101 (""Alexandroff Square"")
in {{doi:10.1007/978-1-4612-6290-9}}."
